Summary,Issue Type,Priority,Labels,Description,Epic Link,Assignee
"EPIC: FI Technical Specification — Historic AP/AR/GL Loading",Epic,Highest,"fi-specification,blocking,pre-development","All technical FI questions that must be answered before development of the Syniti Surge Historic AP/AR/GL Loading product can begin. 50 questions across 13 categories. Reference: RI-871.md",,FI Consultant Team
"STORY: Scope & Document Types (Q-001 to Q-006)",Story,Highest,"fi-specification,scope","Define which document types, T-codes, and transaction categories are in scope for GL, AP, and AR historic loading. See STORY_FI_TECHNICAL_QUESTIONS.md Section 1.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-001: Which FI document types (BLART) are in scope for GL?",Sub-task,Highest,"fi-specification,gl,scope","Define which GL document types to load (SA, SB, AB, accruals, recurring, etc.). Must we load ALL types in BKPF or filter? Which types to EXCLUDE? Ref: T003, BKPF-BLART.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-002: Which FI document types (BLART) are in scope for AP?",Sub-task,Highest,"fi-specification,ap,scope","Define AP doc types: KR, KG, KZ, KA, RE, down payments. Critical: do we load PAYMENT docs (KZ)? If yes, how to recreate clearing? Ref: T003, account type K.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-003: Which FI document types (BLART) are in scope for AR?",Sub-task,Highest,"fi-specification,ar,scope","Define AR doc types: DR, DG, DZ, DA, debit memo, dunning interest. Do we load customer payments? Ref: T003, account type D.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-004: What is the exact T-Code / reporting scope boundary?",Sub-task,High,"fi-specification,scope,reporting","After loading, in which T-codes must data be visible? GL: FAGLL03H, FAGLB03. AP: FBL1N, FK10N. AR: FBL5N, FD10N. Cross: FB03, CDS Views.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-005: Is scope ONLY transactional, or includes related objects?",Sub-task,High,"fi-specification,scope","Clarify: parked docs (VBKPF), held docs, recurring entries (FBD1), accruals (FBS1), down payment requests, payment advice notes, check management (PAYR), cash management position.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-006: What about sub-ledger integration (ML, AA, CO)?",Sub-task,High,"fi-specification,scope,integration","Material Ledger docs (ACDOCA MLCATEG), Asset Accounting docs (ANLN1/ANLN2), CO postings (KOSTL, AUFNR), PS docs (WBS). In scope or separate migration?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Document Creation Strategy (Q-007 to Q-011)",Story,Highest,"fi-specification,architecture","Fundamental architecture decisions about HOW documents are created in target: exact replica vs summarized, posting dates, number ranges, impact avoidance.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-007: Exact replica vs. summarized documents?",Sub-task,Highest,"fi-specification,architecture,blocking","Per module (GL/AP/AR) and per status (open/cleared): 1:1 copy, aggregated, or hybrid? This is the single most impactful design decision.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-008: How to post without affecting target system operations?",Sub-task,Highest,"fi-specification,architecture,side-effects","Loading must NOT trigger: payment runs, dunning, credit mgmt, workflows, ALE/IDocs, bank reconciliation, tax reporting, CO actuals, asset depreciation, cash mgmt. Strategy?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-009: Which posting date (BUDAT) and document date (BLDAT) strategy?",Sub-task,Highest,"fi-specification,architecture","Use original dates (requires retroactive period opening) or migration date (wrong period assignment)? Impact on CPUDT, AEDAT. Period-end reporting implications.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-010: Fiscal year variants and special periods handling?",Sub-task,High,"fi-specification,configuration","Target fiscal year variant? Different from source? Period mapping for non-calendar years? Special periods (13-16) posting via BAPI? Ref: T009, T009B, OB29.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
