Summary,Issue Type,Priority,Labels,Description,Epic Name,Epic Link,Linked Issues,Original Estimate,Assignee
"EPIC: FI Technical Specification — Spikes",Epic,Highest,"spike,fi-specification,blocking,pre-development","Timeboxed technical investigations assigned to FI Consultants. 13 Spikes with 50 questions that must be answered before development of the Historic AP/AR/GL Loading product can begin. All Spikes block RDG-1590 through RDG-1594.","FI Technical Specification — Spikes",,,35d,FI Consultant Team
"SPIKE-001: Scope & Document Types (Q-001 to Q-006)",Story,Highest,"spike,fi-specification,scope,blocking","Define which FI document types (BLART), T-codes, and transaction categories are in scope for GL, AP, and AR historic loading. Questions: Q-001 (GL doc types), Q-002 (AP doc types), Q-003 (AR doc types), Q-004 (reporting scope boundary), Q-005 (related objects: parked/held/recurring), Q-006 (sub-ledger integration ML/AA/CO). SAP References: T003, BKPF-BLART, ACDOCA.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
"SPIKE-002: Document Creation Strategy (Q-007 to Q-011)",Story,Highest,"spike,fi-specification,architecture,blocking","Fundamental architecture decisions about HOW documents are created in target. Questions: Q-007 (exact replica vs summarized), Q-008 (avoid side effects from posting), Q-009 (posting date BUDAT/BLDAT strategy), Q-010 (fiscal year variants/special periods), Q-011 (number range strategy). SAP References: BAPI_ACC_DOCUMENT_POST, T009, FBN1, NRIV.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
"SPIKE-003: Open Items vs. Cleared Items (Q-012 to Q-015)",Story,Highest,"spike,fi-specification,clearing,blocking","Define treatment of open vs cleared items for AP/AR. Questions: Q-012 (what defines open item at cutover), Q-013 (recreate clearing relationships), Q-014 (down payments Anzahlungen), Q-015 (withholding tax WHT). SAP References: BSIK, BSID, BSEG-AUGBL, T074, WITH_ITEM.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
"SPIKE-004: S/4HANA Data Model — ACDOCA (Q-016 to Q-019)",Story,Highest,"spike,fi-specification,acdoca,data-model,blocking","Technical questions about ACDOCA field population, document splitting, parallel currencies, and ledger strategy. Questions: Q-016 (mandatory ACDOCA fields), Q-017 (document splitting characteristics), Q-018 (parallel currencies active), Q-019 (ledger strategy 0L/2L/extension). SAP References: ACDOCA, FAGL_SPLINFO, FINSC_LEDGER, T001-WAERS.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
"SPIKE-005: Master Data Dependencies (Q-020 to Q-023)",Story,High,"spike,fi-specification,master-data,prerequisites","Prerequisite master data that must exist before loading. Questions: Q-020 (Business Partner vendor/customer mapping), Q-021 (Chart of Accounts mapping), Q-022 (tax codes mapping/handling), Q-023 (bank accounts/house banks). SAP References: CVI_VEND_LINK, CVI_CUST_LINK, SKA1, T007A, T012.",,"FI Technical Specification — Spikes","blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",2d,FI Consultant Team
"SPIKE-006: Specific Scenarios & Edge Cases (Q-024 to Q-030)",Story,High,"spike,fi-specification,edge-cases,complexity","Complex scenarios requiring special treatment. Questions: Q-024 (intercompany), Q-025 (FC revaluation docs), Q-026 (GR/IR clearing account), Q-027 (profit center/segment derivation), Q-028 (cross-company code docs), Q-029 (noted items/special GL), Q-030 (F110 payment program docs). SAP References: BSEG-VBUND, FAGL_FC_VAL, F.19, CEPC, T074, REGUH.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",5d,FI Consultant Team
"SPIKE-007: Material Ledger & Valuation (Q-031 to Q-032)",Story,Medium,"spike,fi-specification,material-ledger,valuation","Material Ledger and transfer pricing document handling. ML is mandatory in S/4HANA. Questions: Q-031 (ML historic data — PRDI/CKMLCP docs, MLCATEG), Q-032 (transfer pricing/profit center valuation in non-leading ledger). SAP References: ACDOCA-MLCATEG, CKMLHD, CKMLCT.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592",2d,FI Consultant Team
"SPIKE-008: Technical Integration Points (Q-033 to Q-036)",Story,High,"spike,fi-specification,integration,side-effects","Integration points triggered by FI posting. Questions: Q-033 (ALE/IDoc/change pointers), Q-034 (workflow/BTE triggers), Q-035 (Bank Communication Management BCM), Q-036 (S/4HANA Cloud deployment model support). SAP References: BD50, SWE2, FIBF, FEBEP, FF_5.",,"FI Technical Specification — Spikes","blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
"SPIKE-009: Reconciliation & Validation (Q-037 to Q-038)",Story,Highest,"spike,fi-specification,reconciliation,acceptance","Define reconciliation pass/fail criteria and exclusion handling. Questions: Q-037 (what constitutes successful reconciliation — document/account/subledger/cross-module levels), Q-038 (reconciliation differences from excluded items). SAP References: FAGLB03, FBL1N, FBL5N, trial balance.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",2d,FI Consultant Team
"SPIKE-010: Operational & Cutover (Q-039 to Q-042)",Story,High,"spike,fi-specification,operational,cutover","Operational procedures for cutover. Questions: Q-039 (period opening/closing with BRGRU security), Q-040 (parallel execution/lock objects/concurrency), Q-041 (prerequisites checklist before loading), Q-042 (post-processing after loading). SAP References: OB52, T001B, SM50, FAGL_FC_CARRY_FORWARD.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
"SPIKE-011: Clean Core & Compliance (Q-043 to Q-044)",Story,Highest,"spike,fi-specification,clean-core,compliance,blocking","Verify C1-Released APIs and ATC scan requirements. Questions: Q-043 (which APIs are C1-Released — BAPI_ACC_DOCUMENT_POST, CDS Views, CL_BAL_LOG), Q-044 (ATC variant ABAP_CLOUD_READINESS, custom tables under Tier 1, RAP-managed). SAP References: API Business Hub, ADT Released Objects.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",2d,FI Consultant Team
"SPIKE-012: Risk & Edge Cases (Q-045 to Q-048)",Story,High,"spike,fi-specification,risk,edge-cases","Identify unloadable documents and operational risks. Questions: Q-045 (docs with no S/4 equivalent), Q-046 (reversal documents handling), Q-047 (tolerance limits/credit limits during loading), Q-048 (archiving impact on loaded data). SAP References: BKPF-STBLG, OBA4, FD32, AOBJ FI_DOCUMNT.",,"FI Technical Specification — Spikes","blocks RDG-1590, blocks RDG-1591, blocks RDG-1592, blocks RDG-1593, blocks RDG-1594",3d,FI Consultant Team
